timestamp_s,robot0_x_in,robot0_y_in,robot0_heading_rad,robot0_visible,robot1_x_in,robot1_y_in,robot1_heading_rad,robot1_visible,robot2_x_in,robot2_y_in,robot2_heading_rad,robot2_visible,robot3_x_in,robot3_y_in,robot3_heading_rad,robot3_visible
0.0000,19.30,1.59,0.0000,1,59.41,125.05,0.0000,1,87.83,132.56,0.0000,1,129.47,16.26,0.0000,1
0.0333,19.34,1.60,0.0000,1,59.42,125.04,0.0000,1,87.83,132.54,0.0000,1,129.44,16.25,0.0000,1
0.0667,19.38,1.61,0.0000,1,59.43,125.03,0.0000,1,87.84,132.51,0.0000,1,129.41,16.25,0.0000,1
0.1000,19.41,1.62,0.0000,1,59.44,125.02,0.0000,1,87.84,132.49,0.0000,1,129.38,16.24,0.0000,1
0.1333,19.45,1.63,0.0000,1,59.45,125.01,0.0000,1,87.84,132.47,0.0000,1,129.35,16.23,0.0000,1
0.1667,19.49,1.64,0.0000,1,59.46,125.00,0.0000,1,87.84,132.45,0.0000,1,129.32,16.22,0.0000,1
0.2000,19.53,1.65,0.0000,1,59.48,124.99,0.0000,1,87.84,132.43,0.0000,1,129.29,16.21,0.0000,1
0.2333,19.57,1.66,0.0000,1,59.49,124.98,0.0000,1,87.84,132.40,0.0000,1,129.26,16.20,0.0000,1
0.2667,19.61,1.67,0.0000,1,59.50,124.97,0.0000,1,87.84,132.38,0.0000,1,129.23,16.19,0.0000,1
0.3000,19.65,1.68,0.0000,1,59.51,124.96,0.0000,1,87.84,132.36,0.0000,1,129.20,16.19,0.0000,1
0.3333,19.69,1.69,0.0000,1,59.52,124.95,0.0000,1,87.84,132.34,0.0000,1,129.17,16.18,0.0000,1
0.3667,19.72,1.70,0.0000,1,59.53,124.94,0.0000,1,87.84,132.32,0.0000,1,129.14,16.17,0.0000,1
0.4000,19.76,1.71,0.0000,1,59.54,124.93,0.0000,1,87.84,132.29,0.0000,1,129.11,16.16,0.0000,1
0.4333,19.80,1.71,0.0000,1,59.55,124.92,0.0000,1,87.84,132.27,0.0000,1,129.08,16.15,0.0000,1
0.4667,19.84,1.72,0.0000,1,59.56,124.91,0.0000,1,87.84,132.25,0.0000,1,129.05,16.14,0.0000,1
0.5000,19.88,1.73,0.0000,1,59.57,124.90,0.0000,1,87.84,132.23,0.0000,1,129.02,16.13,0.0000,1
0.5333,19.92,1.74,0.0000,1,59.59,124.89,0.0000,1,87.85,132.21,0.0000,1,128.99,16.13,0.0000,1
0.5667,19.96,1.75,0.0000,1,59.60,124.88,0.0000,1,87.85,132.18,0.0000,1,128.96,16.12,0.0000,1
0.6000,20.00,1.76,0.0000,1,59.61,124.87,0.0000,1,87.85,132.16,0.0000,1,128.93,16.11,0.0000,1
0.6333,20.03,1.77,0.0000,1,59.62,124.86,0.0000,1,87.85,132.14,0.0000,1,128.90,16.10,0.0000,1
0.6667,20.07,1.78,0.0000,1,59.63,124.85,0.0000,1,87.85,132.12,0.0000,1,128.87,16.09,0.0000,1
0.7000,20.11,1.79,0.0000,1,59.64,124.84,0.0000,1,87.85,132.10,0.0000,1,128.84,16.08,0.0000,1
0.7333,20.15,1.80,0.0000,1,59.65,124.83,0.0000,1,87.85,132.07,0.0000,1,128.81,16.07,0.0000,1
0.7667,20.19,1.81,0.0000,1,59.66,124.82,0.0000,1,87.85,132.05,0.0000,1,128.78,16.07,0.0000,1
0.8000,20.23,1.82,0.0000,1,59.67,124.81,0.0000,1,87.85,132.03,0.0000,1,128.75,16.06,0.0000,1
0.8333,20.27,1.83,0.0000,1,59.68,124.80,0.0000,1,87.85,132.01,0.0000,1,128.72,16.05,0.0000,1
0.8667,20.31,1.84,0.0000,1,59.70,124.79,0.0000,1,87.85,131.99,0.0000,1,128.68,16.04,0.0000,1
0.9000,20.34,1.85,0.0000,1,59.71,124.78,0.0000,1,87.85,131.96,0.0000,1,128.65,16.03,0.0000,1
0.9333,20.38,1.86,0.0000,1,59.72,124.77,0.0000,1,87.85,131.94,0.0000,1,128.62,16.02,0.0000,1
0.9667,20.42,1.87,0.0000,1,59.73,124.76,0.0000,1,87.85,131.92,0.0000,1,128.59,16.01,0.0000,1
1.0000,20.46,1.87,0.0000,1,59.74,124.75,0.0000,1,87.86,131.90,0.0000,1,128.56,16.01,0.0000,1
1.0333,20.50,1.88,0.0000,1,59.75,124.74,0.0000,1,87.86,131.88,0.0000,1,128.53,16.00,0.0000,1
1.0667,20.54,1.89,0.0000,1,59.76,124.73,0.0000,1,87.86,131.85,0.0000,1,128.50,15.99,0.0000,1
1.1000,20.58,1.90,0.0000,1,59.77,124.72,0.0000,1,87.86,131.83,0.0000,1,128.47,15.98,0.0000,1
1.1333,20.62,1.91,0.0000,1,59.78,124.71,0.0000,1,87.86,131.81,0.0000,1,128.44,15.97,0.0000,1
1.1667,20.65,1.92,0.0000,1,59.79,124.70,0.0000,1,87.86,131.79,0.0000,1,128.41,15.96,0.0000,1
