timestamp_s,robot0_x_in,robot0_y_in,robot0_heading_rad,robot0_visible,robot1_x_in,robot1_y_in,robot1_heading_rad,robot1_visible,robot2_x_in,robot2_y_in,robot2_heading_rad,robot2_visible,robot3_x_in,robot3_y_in,robot3_heading_rad,robot3_visible
1.0667,284.92,13.36,0.5279,1,133.22,18.46,0.8418,1,583.34,83.23,2.7450,1,48.98,93.35,2.8775,1
1.1667,284.92,13.36,0.5279,0,133.59,19.59,1.0166,1,583.24,74.40,2.8673,1,51.89,94.86,2.8430,1
1.2667,284.81,20.13,0.3383,1,133.59,19.59,1.0166,0,583.93,74.90,2.9392,1,52.32,94.54,2.8425,1
1.3667,289.01,28.45,0.0986,1,133.59,19.59,1.0166,0,583.24,79.45,2.8572,1,55.75,106.69,2.8412,1
1.4667,287.58,31.99,0.1383,1,134.75,21.67,1.1075,1,576.74,68.23,2.7617,1,55.29,102.42,2.8862,1
1.5667,288.03,32.55,0.1394,1,134.61,20.51,0.9775,1,571.46,70.06,2.6037,1,55.98,102.15,2.8598,1
1.6667,288.03,33.39,0.1656,1,136.14,18.35,1.8569,1,572.64,71.56,2.8060,1,57.23,101.98,2.7807,1
1.7667,288.18,32.58,0.1913,1,136.14,18.35,1.8569,0,572.84,69.37,2.8333,1,57.37,101.85,2.7938,1
1.8667,288.61,29.23,0.1572,1,136.14,18.35,1.8569,0,567.76,60.44,2.9420,1,53.05,98.14,2.8431,1
1.9667,289.32,37.24,3.0322,1,136.14,18.35,1.8569,0,560.52,61.35,2.9914,1,31.41,93.72,2.8438,1
2.0667,289.20,39.07,3.0355,1,136.14,18.35,1.8569,0,561.41,64.13,3.0204,1,31.41,93.72,2.8438,0
2.1667,289.37,42.17,3.0961,1,136.14,18.35,1.8569,0,560.93,62.20,2.9806,1,55.54,87.66,2.5654,1
2.2667,289.33,41.75,3.0957,1,136.14,18.35,1.8569,0,561.14,61.40,2.9940,1,55.54,87.66,2.5654,0
2.3667,288.97,42.29,3.0975,1,136.14,18.35,1.8569,0,561.50,58.73,3.0380,1,55.54,87.66,2.5654,0
2.4667,289.41,43.34,3.1202,1,136.14,18.35,1.8569,0,559.88,59.40,2.9711,1,40.19,93.74,2.8739,1
2.5667,290.81,44.85,3.1173,1,136.14,18.35,1.8569,0,559.82,59.31,3.0464,1,36.62,75.54,2.9387,1
2.6667,291.59,46.96,3.0745,1,136.14,18.35,1.8569,0,558.29,62.17,3.0319,1,52.33,92.69,2.4057,1
2.7667,291.96,46.08,3.0536,1,136.14,18.35,1.8569,0,559.24,60.83,3.0540,1,49.27,92.14,2.5753,1
2.8667,291.69,46.02,3.0795,1,136.14,18.35,1.8569,0,558.97,62.35,3.0527,1,47.33,90.77,2.5705,1
2.9667,291.16,43.78,0.0077,1,136.14,18.35,1.8569,0,557.00,63.19,3.0102,1,51.78,92.48,2.4312,1
3.0667,291.33,44.54,0.0227,1,136.14,18.35,1.8569,0,556.55,67.23,3.0031,1,50.49,98.88,2.6411,1
3.1667,290.44,39.90,0.1265,1,136.14,18.35,1.8569,0,555.97,63.62,2.9698,1,50.49,98.88,2.6411,0
3.2667,290.96,28.15,0.0256,1,136.14,18.35,1.8569,0,554.89,64.71,2.9541,1,50.49,98.88,2.6411,0
3.3667,291.22,28.17,3.1164,1,136.14,18.35,1.8569,0,555.58,63.00,2.9975,1,50.49,98.88,2.6411,0
3.4667,291.75,28.23,3.1373,1,136.14,18.35,1.8569,0,554.85,66.51,3.0202,1,50.49,98.88,2.6411,0
3.5667,291.76,27.02,3.0711,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,1,50.49,98.88,2.6411,0
3.6667,292.06,25.02,2.9984,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
3.7667,296.62,23.78,0.8110,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
3.8667,298.73,23.74,0.2798,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
3.9667,298.13,23.95,0.2090,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
4.0667,297.59,22.58,0.2587,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
4.1667,297.59,22.58,0.2587,0,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
4.2667,297.59,22.58,0.2587,0,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
4.3667,294.96,23.74,0.2362,1,136.14,18.35,1.8569,0,570.20,66.47,2.9780,0,50.49,98.88,2.6411,0
