timestamp_s,robot0_x_in,robot0_y_in,robot0_heading_rad,robot0_visible,robot1_x_in,robot1_y_in,robot1_heading_rad,robot1_visible,robot2_x_in,robot2_y_in,robot2_heading_rad,robot2_visible,robot3_x_in,robot3_y_in,robot3_heading_rad,robot3_visible
0.0000,16.77,3.33,0.0000,1,58.65,121.09,0.0000,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.0333,16.77,3.33,0.0000,1,58.65,121.09,0.0000,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.0667,16.77,3.33,0.0000,1,58.65,121.09,0.0000,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.1000,16.77,3.33,0.0000,1,58.65,121.09,0.0000,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.1333,16.74,3.14,0.0000,1,60.13,118.14,-1.1034,1,88.00,132.21,0.0000,1,128.28,8.02,0.0000,1
0.1667,16.74,3.14,0.0000,1,60.12,118.22,-1.0870,1,88.00,132.21,0.0000,1,128.33,8.07,0.0000,1
0.2000,16.74,3.14,0.0000,1,60.13,118.23,-1.0633,1,87.93,132.59,0.0000,1,128.29,8.05,0.0000,1
0.2333,16.74,3.14,0.0000,1,60.13,118.23,-1.0633,1,87.88,132.55,0.0000,1,128.28,8.02,0.0000,1
0.2667,16.79,3.18,0.0000,1,60.15,118.27,-1.0633,1,88.00,132.54,0.0000,1,128.39,8.16,0.0000,1
0.3000,16.79,3.18,0.0000,1,58.60,121.16,2.0577,1,88.00,132.54,0.0000,1,128.39,8.16,0.0000,1
0.3333,16.82,3.37,0.0000,1,58.56,121.22,2.0611,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.3667,16.82,3.37,0.0000,1,58.59,121.26,2.0061,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.4000,16.82,3.37,0.0000,1,58.60,121.16,2.0061,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.4333,16.79,3.18,0.0000,1,60.15,118.27,-1.0809,1,88.00,132.54,0.0000,1,128.42,8.19,0.0000,1
0.4667,16.79,3.18,0.0000,1,60.16,118.20,-1.0970,1,87.88,132.55,0.0000,1,128.41,8.15,0.0000,1
0.5000,16.74,3.14,0.0000,1,60.12,118.22,-1.1400,1,87.91,132.22,0.0000,1,128.32,8.05,0.0000,1
0.5333,16.74,3.14,0.0000,1,60.14,118.24,-1.1400,1,87.88,132.55,0.0000,1,128.35,8.11,0.0000,1
0.5667,16.79,3.18,0.0000,1,60.16,118.27,-1.1400,1,88.00,132.54,0.0000,1,128.34,8.17,0.0000,1
0.6000,16.81,3.20,0.0000,1,60.16,118.27,-1.1400,1,88.00,132.54,0.0000,1,128.34,8.17,0.0000,1
0.6333,16.82,3.37,0.0000,1,58.58,121.24,2.0567,1,88.00,132.54,0.0000,1,128.34,8.17,0.0000,1
0.6667,16.82,3.37,0.0000,1,58.58,121.24,2.0567,1,88.00,132.54,0.0000,1,128.37,8.37,0.0000,1
0.7000,16.78,3.21,0.0000,1,60.18,118.22,-1.0838,1,88.09,132.17,0.0000,1,128.37,8.37,0.0000,1
0.7333,16.79,3.18,0.0000,1,60.17,118.20,-1.0999,1,88.09,132.17,0.0000,1,128.40,8.18,0.0000,1
0.7667,16.77,3.17,0.0000,1,60.13,118.16,-1.1958,1,88.10,132.27,0.0000,1,128.33,8.10,0.0000,1
0.8000,16.74,3.14,0.0000,1,60.13,118.14,-1.1958,1,88.00,132.21,0.0000,1,128.28,8.02,0.0000,1
0.8333,16.74,3.14,0.0000,1,60.13,118.16,-1.1958,1,88.00,132.21,0.0000,1,128.29,8.09,0.0000,1
0.8667,16.79,3.18,0.0000,1,60.18,118.21,-1.1958,1,88.13,132.20,0.0000,1,128.40,8.18,0.0000,1
