timestamp_s,robot0_x_in,robot0_y_in,robot0_heading_rad,robot0_visible,robot1_x_in,robot1_y_in,robot1_heading_rad,robot1_visible,robot2_x_in,robot2_y_in,robot2_heading_rad,robot2_visible,robot3_x_in,robot3_y_in,robot3_heading_rad,robot3_visible
0.0000,9.32,15.66,0.0000,1,57.78,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.0333,9.32,15.66,0.0000,1,57.78,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.0667,9.32,15.66,0.0000,1,57.78,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.1000,9.32,15.66,0.0000,1,57.78,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.1333,9.32,15.66,0.0000,1,57.77,133.34,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.1667,9.32,15.66,0.0000,1,57.77,133.34,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.2000,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.2333,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.2667,9.32,15.66,0.0000,1,57.78,133.32,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.3000,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.3333,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.3667,9.32,15.66,0.0000,1,57.78,133.32,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.4000,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.4333,9.32,15.66,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.4667,9.32,15.66,0.0000,1,57.77,133.34,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.5000,9.32,15.66,0.0000,1,57.77,133.34,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.5333,9.30,15.69,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.5667,9.30,15.69,0.0000,1,57.77,133.34,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.6000,9.30,15.69,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
0.6333,9.30,15.69,0.0000,1,57.77,133.33,0.0000,1,90.37,132.14,0.0000,1,125.16,22.48,0.0000,1
